Base Name,Base ID,Table Name,Table ID,Field Name,Field Type
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,YoBot® Integration + Roadmap Tracker,tblOgmxKHcSDFHX7M,Notes,multilineText
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,YoBot® Integration + Roadmap Tracker,tblOgmxKHcSDFHX7M,Estimated Due Date,date
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,YoBot® Integration + Roadmap Tracker,tblOgmxKHcSDFHX7M,Feature Type,singleSelect
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,YoBot® Integration + Roadmap Tracker,tblOgmxKHcSDFHX7M,Applies To,multipleSelects
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,YoBot® Integration + Roadmap Tracker,tblOgmxKHcSDFHX7M,Phase,singleSelect
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,YoBot® Integration + Roadmap Tracker,tblOgmxKHcSDFHX7M,Department,singleSelect
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,YoBot® Integration + Roadmap Tracker,tblOgmxKHcSDFHX7M,Future Flag,checkbox
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,YoBot® Integration + Roadmap Tracker,tblOgmxKHcSDFHX7M,Resource Link,url
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Task Name,multilineText
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Module / Scenario,singleSelect
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,System Category,singleSelect
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Owner,singleSelect
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Status,singleSelect
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Priority,singleSelect
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Notes,multilineText
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Phase,singleSelect
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Due Date,date
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,🧮 Completed This Week?,formula
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Task Age (Days Ago),formula
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Smart Link,singleLineText
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Label,formula
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Last Modified (Smart Link Trigger),lastModifiedTime
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Record ID,formula
🗃️ ARCHIVED – SmartSpend™ Tracker Z (DO NOT USE),appsViuNPQnXGT82W,Phase 1 - Launch Tasks,tblvRrFeKO2gqRBT6,Airtable_ID,formula
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z5if,📊 Command Center · Metrics Tracker,tblJ7z2beo9ZGYLMB,📅 Date,multilineText
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z5if,📊 Command Center · Metrics Tracker,tblJ7z2beo9ZGYLMB,🏷️ Client / Bot Name,multilineText
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z5if,📊 Command Center · Metrics Tracker,tblJ7z2beo9ZGYLMB,💬 Conversations,number
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z5if,📊 Command Center · Metrics Tracker,tblJ7z2beo9ZGYLMB,✉️ Messages Exchanged,number
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z5if,📊 Command Center · Metrics Tracker,tblJ7z2beo9ZGYLMB,🎯 Leads Captured,number
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z5if,📊 Command Center · Metrics Tracker,tblJ7z2beo9ZGYLMB,🔀 Live Transfers,number
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z5if,📊 Command Center · Metrics Tracker,tblJ7z2beo9ZGYLMB,⏱️ Avg Response Time (sec),number
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z5if,📊 Command Center · Metrics Tracker,tblJ7z2beo9ZGYLMB,📈 Conversion Rate,multilineText
YoBot® Command Center (Live Ops),appRt8V3tH4g5Z5if,📊 Command Center · Metrics Tracker,tblJ7z2beo9ZGYLMB,💰 Revenue Booked,number
